Model,coherence,consistency,fluency,relevance,overall,Comet,CTC,Average Length,
gpt3.5,0.908,0.694,0.947,0.927,0.869,0.676,0.865,104.834,
gpt4,0.915,0.655,0.942,0.932,0.861,0.677,0.866,84.214,
clinfo_pubmed_LimitedSearch_ExludePMID,0.949,0.466,0.903,0.962,0.820,0.704,0.840,205.579,
clinfo_pubmed_LimitedSearch_ExludePMID_synthesis,0.925,0.394,0.893,0.940,0.788,0.693,0.842,165.814,
clinfo_pubmed_LimitedSearch_ExludePMID_TLDR,0.866,0.787,0.954,0.867,0.868,0.665,0.874,38.766,
clinfo_pubmed_ExludePMID,0.942,0.465,0.918,0.967,0.823,0.706,0.843,204.248,
clinfo_pubmed_ExludePMID_synthesis,0.925,0.398,0.912,0.951,0.797,0.695,0.845,164.938,
clinfo_pubmed_ExludePMID_TLDR,0.829,0.763,0.953,0.837,0.846,0.672,0.876,38.310,
clinfo_pubmed,0.945,0.539,0.912,0.969,0.841,0.721,0.852,214.338,
clinfo_pubmed_synthesis,0.916,0.480,0.904,0.944,0.811,0.712,0.855,173.379,
clinfo_pubmed_TLDR,0.896,0.810,0.955,0.892,0.888,0.681,0.880,39.959,
elicit,0.854,0.352,0.743,0.904,0.713,0.700,0.866,130.566,
statpearl,0.753,0.383,0.930,0.839,0.726,0.633,0.841,118.172,
,,,,,,,,,
