Model,coherence,consistency,fluency,relevance,overall,Comet,CTC,Average Length
gpt3.5,& 0.908 (0.149),& 0.694 (0.144),& 0.947 (0.059),& 0.927 (0.14),& 0.869 (0.088),& 0.676 (0.075),& 0.865 (0.017),& 105 (47.8)
gpt4,& 0.915 (0.099),& 0.655 (0.145),& 0.942 (0.051),& 0.932 (0.091),& 0.861 (0.063),& 0.677 (0.075),& 0.866 (0.017),& 84.2 (39.8)
clinfo_pubmed_LimitedSearch_ExludePMID,& 0.949 (0.065),& 0.466 (0.105),& 0.903 (0.104),& 0.962 (0.065),& 0.82 (0.055),& 0.704 (0.055),& 0.84 (0.014),& 206 (46.2)
clinfo_pubmed_LimitedSearch_ExludePMID_synthesis,& 0.925 (0.066),& 0.394 (0.11),& 0.893 (0.119),& 0.94 (0.067),& 0.788 (0.059),& 0.693 (0.057),& 0.842 (0.015),& 166 (40.7)
clinfo_pubmed_LimitedSearch_ExludePMID_TLDR,& 0.866 (0.143),& 0.787 (0.161),& 0.954 (0.018),& 0.867 (0.151),& 0.868 (0.098),& 0.665 (0.078),& 0.874 (0.018),& 38.8 (11.7)
clinfo_pubmed_ExludePMID,& 0.942 (0.092),& 0.465 (0.104),& 0.918 (0.085),& 0.967 (0.037),& 0.823 (0.05),& 0.706 (0.056),& 0.843 (0.014),& 204 (38.4)
clinfo_pubmed_ExludePMID_synthesis,& 0.925 (0.066),& 0.398 (0.112),& 0.912 (0.096),& 0.951 (0.035),& 0.797 (0.051),& 0.695 (0.059),& 0.845 (0.016),& 165 (33.2)
clinfo_pubmed_ExludePMID_TLDR,& 0.829 (0.202),& 0.763 (0.197),& 0.953 (0.029),& 0.837 (0.19),& 0.846 (0.128),& 0.672 (0.078),& 0.876 (0.017),& 38.3 (10.7)
clinfo_pubmed,& 0.945 (0.064),& 0.539 (0.127),& 0.912 (0.096),& 0.969 (0.024),& 0.841 (0.048),& 0.721 (0.055),& 0.852 (0.017),& 214 (44.2)
clinfo_pubmed_synthesis,& 0.916 (0.092),& 0.48 (0.142),& 0.904 (0.098),& 0.944 (0.053),& 0.811 (0.057),& 0.712 (0.057),& 0.855 (0.019),& 173 (38.5)
clinfo_pubmed_TLDR,& 0.896 (0.123),& 0.81 (0.159),& 0.955 (0.012),& 0.892 (0.119),& 0.888 (0.078),& 0.681 (0.072),& 0.88 (0.016),& 40 (11.8)
elicit,& 0.854 (0.136),& 0.352 (0.147),& 0.743 (0.151),& 0.904 (0.13),& 0.713 (0.087),& 0.7 (0.066),& 0.866 (0.017),& 131 (22.9)
statpearl,& 0.753 (0.225),& 0.383 (0.129),& 0.93 (0.053),& 0.839 (0.176),& 0.726 (0.115),& 0.633 (0.075),& 0.841 (0.016),& 118 (26.6)
