Model,bertscore,rouge-L,meteor,chrf,google_bleu,character,exact_match,CTC_summary
gpt3.5,& 0.781 (0.037),& 0.165 (0.053),& 0.181 (0.073),& 30.2 (10.5),& 0.077 (0.036),& 0.912 (0.102),& 0 (0),& 0.575 (0.065)
gpt4,& 0.78 (0.037),& 0.157 (0.049),& 0.192 (0.07),& 31.6 (9.06),& 0.074 (0.031),& 0.89 (0.099),& 0 (0),& 0.571 (0.064)
clinfo_pubmed_LimitedSearch_ExludePMID,& 0.77 (0.028),& 0.135 (0.043),& 0.121 (0.055),& 21.5 (9.98),& 0.058 (0.03),& 0.993 (0.029),& 0 (0),& 0.527 (0.059)
clinfo_pubmed_LimitedSearch_ExludePMID_synthesis,& 0.773 (0.028),& 0.141 (0.044),& 0.133 (0.059),& 24.3 (10.4),& 0.063 (0.032),& 0.976 (0.056),& 0 (0),& 0.533 (0.06)
clinfo_pubmed_LimitedSearch_ExludePMID_TLDR,& 0.784 (0.041),& 0.145 (0.068),& 0.221 (0.089),& 32.7 (7.67),& 0.061 (0.043),& 0.833 (0.086),& 0 (0),& 0.594 (0.068)
clinfo_pubmed_ExludePMID,& 0.773 (0.028),& 0.136 (0.037),& 0.119 (0.054),& 21.4 (9.69),& 0.057 (0.028),& 0.989 (0.036),& 0 (0),& 0.53 (0.06)
clinfo_pubmed_ExludePMID_synthesis,& 0.775 (0.026),& 0.143 (0.038),& 0.132 (0.057),& 24.1 (9.91),& 0.061 (0.043),& 0.976 (0.056),& 0 (0),& 0.536 (0.06)
clinfo_pubmed_ExludePMID_TLDR,& 0.787 (0.041),& 0.148 (0.064),& 0.218 (0.078),& 33 (6.98),& 0.06 (0.039),& 0.83 (0.092),& 0 (0),& 0.6 (0.066)
clinfo_pubmed,& 0.786 (0.029),& 0.167 (0.06),& 0.145 (0.073),& 23.5 (11.2),& 0.079 (0.046),& 0.989 (0.036),& 0 (0),& 0.546 (0.067)
clinfo_pubmed_synthesis,& 0.789 (0.03),& 0.178 (0.067),& 0.164 (0.084),& 26.7 (12),& 0.088 (0.051),& 0.975 (0.065),& 0 (0),& 0.555 (0.07)
clinfo_pubmed_TLDR,& 0.793 (0.038),& 0.169 (0.076),& 0.252 (0.092),& 35.5 (7.95),& 0.076 (0.049),& 0.825 (0.094),& 0 (0),& 0.61 (0.067)
elicit,& 0.807 (0.04),& 0.218 (0.095),& 0.206 (0.093),& 31.6 (12.5),& 0.127 (0.085),& 0.938 (0.096),& 0 (0),& 0.596 (0.07)
statpearl,& 0.77 (0.028),& 0.136 (0.037),& 0.149 (0.057),& 26.5 (9.8),& 0.062 (0.026),& 0.939 (0.09),& 0 (0),& 0.536 (0.06)
