Model,bertscore,rouge-L,meteor,chrf,google_bleu,character,exact_match,CTC_summary
gpt3.5,0.037,0.053,0.073,10.549,0.036,0.102,0,0.065
gpt4,0.037,0.049,0.07,9.058,0.031,0.099,0,0.064
clinfo_pubmed_LimitedSearch_ExludePMID,0.028,0.043,0.055,9.984,0.03,0.029,0,0.059
clinfo_pubmed_LimitedSearch_ExludePMID_synthesis,0.028,0.044,0.059,10.365,0.032,0.056,0,0.06
clinfo_pubmed_LimitedSearch_ExludePMID_TLDR,0.041,0.068,0.089,7.674,0.043,0.086,0,0.068
clinfo_pubmed_ExludePMID,0.026,0.037,0.054,9.688,0.028,0.036,0,0.06
clinfo_pubmed_ExludePMID_synthesis,0.026,0.038,0.057,9.913,0.028,0.06,0,0.06
clinfo_pubmed_ExludePMID_TLDR,0.041,0.064,0.078,6.981,0.039,0.092,0,0.066
clinfo_pubmed,0.029,0.06,0.073,11.239,0.046,0.042,0,0.067
clinfo_pubmed_synthesis,0.03,0.067,0.084,11.978,0.051,0.065,0,0.07
clinfo_pubmed_TLDR,0.038,0.076,0.092,7.949,0.049,0.094,0,0.067
elicit,0.04,0.095,0.093,12.52,0.085,0.096,0,0.07
statpearl,0.03,0.037,0.057,9.796,0.026,0.09,0,0.05
